Date, Close/Last, Volume, Open, High, Low
06/18/2020, $235.94, 15782450, $234.99, $236.14, $232.15
06/17/2020, $235.53, 19578130, $235, $237.59, $231.7268
06/16/2020, $235.65, 15236690, $237.14, $238.46, $233
06/15/2020, $232.5, 15340260, $225.09, $233.77, $224.8
06/12/2020, $228.58, 22091390, $229.9, $231.66, $224.5
06/11/2020, $224.43, 26708160, $229.94, $232.89, $223.55
06/10/2020, $236.73, 20720710, $240.96, $241.21, $235.28
06/09/2020, $238.67, 27462870, $231.52, $239.77, $230.41
06/08/2020, $231.4, 15466500, $229.03, $231.55, $227.41
06/05/2020, $230.77, 16750440, $226.71, $231.35, $225.3105
06/04/2020, $226.29, 17041480, $229.56, $231.63, $224.61
06/03/2020, $230.16, 15380280, $232.11, $232.65, $228.53
06/02/2020, $232.72, 20919020, $230.94, $233, $226.56
06/01/2020, $231.91, 18223840, $224.59, $232.44, $223.5
05/29/2020, $225.09, 23322480, $225.2, $227.49, $222.88
05/28/2020, $225.46, 29423010, $224.3, $231.6332, $224
05/27/2020, $229.14, 34697550, $229.07, $230.56, $221.1347
05/26/2020, $232.2, 33178320, $239.77, $240.9, $231.67
05/22/2020, $234.91, 33925560, $231.51, $235.99, $228.74
05/21/2020, $231.39, 47782640, $234.72, $237.2, $231.2
05/20/2020, $229.97, 50162880, $223.5, $231.34, $223.19
05/19/2020, $216.88, 31843150, $213.27, $220.49, $212.83
05/18/2020, $213.19, 20167440, $212.15, $214.6445, $210.94
05/15/2020, $210.88, 19383150, $205.27, $211.34, $204.12
05/14/2020, $206.81, 17178950, $202.56, $206.93, $200.69
05/13/2020, $205.1, 20684560, $209.43, $210.78, $202.11
05/12/2020, $210.1, 14704650, $213.29, $215.275, $210
05/11/2020, $213.18, 12911950, $210.887, $215, $210.37
05/08/2020, $212.35, 12524050, $212.24, $213.21, $210.85
05/07/2020, $211.26, 15151980, $211.16, $211.6, $209.04
05/06/2020, $208.47, 21856960, $208.12, $211.6, $206.66
05/05/2020, $207.07, 21071220, $207.02, $210.38, $206.5
05/04/2020, $205.26, 19250670, $200.2, $205.91, $198.7562
05/01/2020, $202.27, 30415580, $201.6, $207.28, $199.0501
04/30/2020, $204.71, 46230120, $206.92, $209.69, $201.5701
04/29/2020, $194.19, 45954520, $190.93, $196.91, $190
04/28/2020, $182.91, 21730990, $188.66, $189.2, $182.56
04/27/2020, $187.5, 29197750, $192.657, $193.75, $187.41
04/24/2020, $190.07, 28868530, $183.23, $190.41, $180.825
04/23/2020, $185.13, 21426600, $184.08, $187.05, $183.15
04/22/2020, $182.28, 33369930, $178.45, $184.78, $178.14
04/21/2020, $170.8, 24850530, $175.25, $175.38, $168.3408
04/20/2020, $178.24, 16110580, $177.41, $180.5, $176.77
04/17/2020, $179.24, 20974750, $179.2, $180.28, $176.66
04/16/2020, $176.25, 23593230, $177.95, $178.05, $172.51
04/15/2020, $176.97, 17423000, $175.187, $178.19, $172.82
04/14/2020, $178.17, 21011820, $178.977, $181.225, $176.62
04/13/2020, $174.79, 19355360, $173.67, $175, $169.45
04/09/2020, $175.19, 23534290, $175.9, $177.08, $171.57
04/08/2020, $174.28, 21664200, $171.25, $175, $167.74
04/07/2020, $168.83, 31411920, $171.79, $173.39, $166.01
04/06/2020, $165.55, 28453580, $160.15, $166.2, $158.51
04/03/2020, $154.18, 25983320, $157.15, $157.91, $150.83
04/02/2020, $158.19, 20886310, $159.1, $161.3509, $155.92
04/01/2020, $159.6, 19507560, $161.615, $164.15, $158.035
03/31/2020, $166.8, 23676280, $165.48, $170.93, $164.2
03/30/2020, $165.95, 22515230, $159.18, $166.75, $158.06
03/27/2020, $156.79, 24879870, $158.2, $160.09, $154.75
03/26/2020, $163.34, 26579020, $158.25, $164, $157.0201
03/25/2020, $156.21, 35184270, $158.92, $162.99, $153.06
03/24/2020, $160.98, 30440370, $155.205, $161.31, $152.57
03/23/2020, $148.1, 29830770, $149.66, $152.31, $142.25
03/20/2020, $149.73, 32568400, $156.02, $159.27, $148
03/19/2020, $153.13, 39862310, $146.62, $159.9294, $144.8
03/18/2020, $146.96, 37553140, $139.75, $148.18, $137.1006
03/17/2020, $149.42, 34255600, $150.74, $153.94, $140
03/16/2020, $146.01, 39120420, $152.32, $159.13, $143.1
03/13/2020, $170.28, 35028630, $163.53, $170.79, $157.6
03/12/2020, $154.47, 43266340, $159.54, $166.6, $154.34
03/11/2020, $170.24, 20397200, $174.01, $175.88, $167.66
03/10/2020, $178.19, 24517790, $174.67, $178.29, $169.5
03/09/2020, $169.5, 29949040, $169.6, $175, $165.19
03/06/2020, $181.09, 24559550, $178.33, $183.78, $176.26
03/05/2020, $185.17, 19333430, $186.78, $188.99, $183.8901
03/04/2020, $191.76, 23062470, $189.17, $191.83, $186.39
03/03/2020, $185.89, 27984100, $196.22, $197.24, $183.97
03/02/2020, $196.44, 24948960, $194.03, $196.57, $188.85
02/28/2020, $192.47, 32583490, $182.695, $192.74, $181.82
02/27/2020, $189.75, 21682630, $191.82, $195.88, $189.5
02/26/2020, $197.2, 16555210, $197.19, $201.21, $195.49
02/25/2020, $196.77, 21433490, $202.25, $203.5, $195.9537
02/24/2020, $200.72, 23080060, $201.8, $203.65, $198.17
02/21/2020, $210.18, 14098430, $213.48, $214.237, $208.8305
02/20/2020, $214.58, 13109210, $216.52, $218.765, $212.945
02/19/2020, $217.49, 12135110, $217.99, $218.32, $216.11
02/18/2020, $217.8, 15630030, $213.55, $217.975, $213.4
02/14/2020, $214.18, 10741750, $214, $214.93, $212.65
02/13/2020, $213.14, 15396630, $209.5235, $214.3259, $209.18
02/12/2020, $210.76, 13813700, $207.85, $211.22, $207.4
02/11/2020, $207.19, 25030810, $210.19, $210.86, $206.5102
02/10/2020, $213.06, 11856350, $211.52, $213.8, $210.66
02/07/2020, $212.33, 12242530, $210.3, $212.82, $209.93
02/06/2020, $210.85, 10567530, $210.47, $211.19, $209.338
